2025-05-31 20:51:11.560 | ERROR    | chunks_processor:process_message:113 - Erro ao receber mensagem: KafkaError{code=GROUP_AUTHORIZATION_FAILED,val=30,str="FindCoordinator response error: Group authorization failed."}
2025-05-31 20:51:11.636 | ERROR    | pdf_processor:process_message:107 - Erro ao receber mensagem: KafkaError{code=GROUP_AUTHORIZATION_FAILED,val=30,str="FindCoordinator response error: Group authorization failed."}
2025-05-31 21:07:21.586 | ERROR    | pdf_processor:process_message:107 - Erro ao receber mensagem: KafkaError{code=GROUP_AUTHORIZATION_FAILED,val=30,str="FindCoordinator response error: Group authorization failed."}
2025-05-31 21:07:21.648 | ERROR    | chunks_processor:process_message:113 - Erro ao receber mensagem: KafkaError{code=GROUP_AUTHORIZATION_FAILED,val=30,str="FindCoordinator response error: Group authorization failed."}
2025-05-31 21:12:20.650 | ERROR    | chunks_processor:process_message:113 - Erro ao receber mensagem: KafkaError{code=UNKNOWN_TOPIC_OR_PART,val=3,str="Subscribed topic not available: pdf_baixados: Broker: Unknown topic or partition"}
2025-05-31 21:15:35.538 | ERROR    | chunks_processor:process_message:113 - Erro ao receber mensagem: KafkaError{code=GROUP_AUTHORIZATION_FAILED,val=30,str="FindCoordinator response error: Group authorization failed."}
2025-05-31 21:15:35.539 | ERROR    | pdf_processor:process_message:107 - Erro ao receber mensagem: KafkaError{code=GROUP_AUTHORIZATION_FAILED,val=30,str="FindCoordinator response error: Group authorization failed."}
2025-05-31 21:20:34.479 | ERROR    | chunks_processor:process_message:113 - Erro ao receber mensagem: KafkaError{code=UNKNOWN_TOPIC_OR_PART,val=3,str="Subscribed topic not available: pdf_baixados: Broker: Unknown topic or partition"}
2025-05-31 21:35:20.829 | ERROR    | pdf_processor:process_message:107 - Erro ao receber mensagem: KafkaError{code=GROUP_AUTHORIZATION_FAILED,val=30,str="FindCoordinator response error: Group authorization failed."}
2025-05-31 21:35:20.829 | ERROR    | chunks_processor:process_message:113 - Erro ao receber mensagem: KafkaError{code=GROUP_AUTHORIZATION_FAILED,val=30,str="FindCoordinator response error: Group authorization failed."}
2025-05-31 21:40:19.678 | ERROR    | chunks_processor:process_message:113 - Erro ao receber mensagem: KafkaError{code=UNKNOWN_TOPIC_OR_PART,val=3,str="Subscribed topic not available: pdf_baixados: Broker: Unknown topic or partition"}
2025-05-31 21:42:04.060 | ERROR    | chunks_processor:process_message:113 - Erro ao receber mensagem: KafkaError{code=GROUP_AUTHORIZATION_FAILED,val=30,str="FindCoordinator response error: Group authorization failed."}
2025-05-31 21:42:04.092 | ERROR    | pdf_processor:process_message:107 - Erro ao receber mensagem: KafkaError{code=GROUP_AUTHORIZATION_FAILED,val=30,str="FindCoordinator response error: Group authorization failed."}
2025-05-31 21:45:34.880 | ERROR    | pdf_processor:process_message:106 - Erro na mensagem Kafka: KafkaError{code=GROUP_AUTHORIZATION_FAILED,val=30,str="FindCoordinator response error: Group authorization failed."}
2025-05-31 21:45:34.880 | ERROR    | pdf_processor:process_message:107 - Detalhes do erro: código=30, nome=GROUP_AUTHORIZATION_FAILED, descrição=FindCoordinator response error: Group authorization failed.
2025-05-31 21:45:34.880 | ERROR    | pdf_processor:process_message:171 - Erro ao processar mensagem: 'cimpl.Consumer' object has no attribute '_group_id'
2025-05-31 21:45:34.881 | ERROR    | pdf_processor:process_message:172 - Detalhes da mensagem: tópico=None, partição=0, offset=None
2025-05-31 21:45:34.994 | ERROR    | chunks_processor:process_message:112 - Erro na mensagem Kafka: KafkaError{code=GROUP_AUTHORIZATION_FAILED,val=30,str="FindCoordinator response error: Group authorization failed."}
2025-05-31 21:45:34.994 | ERROR    | chunks_processor:process_message:113 - Detalhes do erro: código=30, nome=GROUP_AUTHORIZATION_FAILED, descrição=FindCoordinator response error: Group authorization failed.
